fips5,place,Trump,Biden,prop_trump,total_cases,pop_est,cases_per_cap
22005,Ascension Parish,40687,20399,0.6660609632321645,86520,124672,0.6939810061601642
22005,Ascension Parish,40687,20399,0.6660609632321645,86520,429.8236876,201.2918377837676
22007,Assumption Parish,7271,3833,0.6548090778097982,16741,22300,0.7507174887892377
22007,Assumption Parish,7271,3833,0.6548090778097982,16741,65.85491183,254.2103471828458
22009,Avoyelles Parish,12028,4979,0.707238196036926,36099,40462,0.8921704315159903
22009,Avoyelles Parish,12028,4979,0.707238196036926,36099,48.630176485,742.3168618591124
22011,Beauregard Parish,13575,2542,0.8422783396413724,22440,37253,0.6023675945561431
22011,Beauregard Parish,13575,2542,0.8422783396413724,22440,32.187838318,697.157720823121
22013,Bienville Parish,3891,3066,0.5592927986200948,12560,13308,0.9437932070934776
22013,Bienville Parish,3891,3066,0.5592927986200948,12560,16.403692862,765.6812466353773
22015,Bossier Parish,38065,15658,0.7085419652662733,87980,127185,0.691748240751661
22015,Bossier Parish,38065,15658,0.7085419652662733,87980,151.3557636,581.2794829043431
22017,Caddo Parish,47927,54993,0.46567236688690244,210970,242922,0.8684680679395033
22017,Caddo Parish,47927,54993,0.46567236688690244,210970,276.41541132,763.2353022305429
22019,Calcasieu Parish,55066,25982,0.6794245385450597,175652,203112,0.8648036551262358
22019,Calcasieu Parish,55066,25982,0.6794245385450597,175652,190.84189524,920.4058667469351
22021,Caldwell Parish,3976,745,0.8421944503283203,7496,9960,0.7526104417670683
22021,Caldwell Parish,3976,745,0.8421944503283203,7496,18.812494884,398.45858012035063
22023,Cameron Parish,3671,324,0.9188986232790989,5094,6968,0.7310562571756601
22023,Cameron Parish,3671,324,0.9188986232790989,5094,5.4231196274,939.3117522731488
22025,Catahoula Parish,3541,1269,0.7361746361746362,9674,9608,1.0068692756036637
22025,Catahoula Parish,3541,1269,0.7361746361746362,9674,13.57009307,712.8912049532465
22027,Claiborne Parish,3770,2731,0.5799107829564683,12616,15944,0.7912694430506774
22027,Claiborne Parish,3770,2731,0.5799107829564683,12616,21.121289283,597.3120215797766
22029,Concordia Parish,5550,3177,0.6359573736679272,12559,19572,0.6416819946862865
22029,Concordia Parish,5550,3177,0.6359573736679272,12559,28.081112121,447.24012161213363
22031,De Soto Parish,9112,5457,0.6254375729288215,21420,27436,0.7807260533605482
22031,De Soto Parish,9112,5457,0.6254375729288215,21420,31.305203465,684.2312979677035
22033,East Baton Rouge Parish,88396,115533,0.433464588165489,337023,440956,0.7643007465597474
22033,East Baton Rouge Parish,88396,115533,0.433464588165489,337023,968.40568868,348.0184017293251
22035,East Carroll Parish,1080,1900,0.3624161073825503,12189,7037,1.7321301691061533
22035,East Carroll Parish,1080,1900,0.3624161073825503,12189,16.726567897,728.7209232078126
22037,East Feliciana Parish,6064,4280,0.5862335653518949,37718,19305,1.9537943537943538
22037,East Feliciana Parish,6064,4280,0.5862335653518949,37718,42.578055039,885.8554005215043
22039,Evangeline Parish,11053,4158,0.7266451909802117,29559,33443,0.8838620937116886
22039,Evangeline Parish,11053,4158,0.7266451909802117,29559,50.489089358,585.4532211981037
22041,Franklin Parish,6970,2658,0.7239302035729124,27737,20156,1.376116292915261
22041,Franklin Parish,6970,2658,0.7239302035729124,27737,32.271027304,859.5016123506547
22043,Grant Parish,8117,1157,0.8752426137588959,11210,22482,0.4986211191175162
22043,Grant Parish,8117,1157,0.8752426137588959,11210,34.962812837,320.62637672380936
22045,Iberia Parish,21251,11027,0.6583741247908792,64426,70941,0.9081631214671346
22045,Iberia Parish,21251,11027,0.6583741247908792,64426,123.57050308,521.370378805453
22047,Iberville Parish,7893,8514,0.4810751508502468,30948,32721,0.945814614467773
22047,Iberville Parish,7893,8514,0.4810751508502468,30948,52.892704217,585.1090515816952
22049,Jackson Parish,5394,2143,0.7156693644686215,17807,15902,1.119796252043768
22049,Jackson Parish,5394,2143,0.7156693644686215,17807,27.937934943,637.37710164801
22051,Jefferson Parish,105890,84438,0.5563553444579883,391305,434051,0.9015184851549702
22051,Jefferson Parish,105890,84438,0.5563553444579883,391305,1468.0823867,266.54158073484365
22053,Jefferson Davis Parish,11423,3208,0.7807395256646845,28162,31582,0.8917104679880945
22053,Jefferson Davis Parish,11423,3208,0.7807395256646845,28162,48.485934534,580.8282395846539
22055,Lafayette Parish,72519,39685,0.6463138569034972,198068,242782,0.8158265439777249
22055,Lafayette Parish,72519,39685,0.6463138569034972,198068,903.39943307,219.24742561206887
22057,Lafourche Parish,36024,8672,0.8059781635940576,81573,98115,0.8314019263109617
22057,Lafourche Parish,36024,8672,0.8059781635940576,81573,91.837323311,888.2336403006797
22059,LaSalle Parish,6348,574,0.917075989598382,10499,14917,0.703827847422404
22059,LaSalle Parish,6348,574,0.917075989598382,10499,23.879252872,439.6703722799791
22061,Lincoln Parish,11311,7559,0.5994170641229465,34845,47196,0.7383040935672515
22061,Lincoln Parish,11311,7559,0.5994170641229465,34845,100.04621122,348.2890513802308
22063,Livingston Parish,54877,9249,0.8557683310981505,87921,139567,0.6299555052412104
22063,Livingston Parish,54877,9249,0.8557683310981505,87921,215.32486342,408.31791834696986
22065,Madison Parish,1930,2654,0.42102966841186734,18770,11161,1.681748947226951
22065,Madison Parish,1930,2654,0.42102966841186734,18770,17.874628198,1050.0917720962825
22067,Morehouse Parish,6510,4946,0.5682611731843575,18652,25398,0.734388534530278
22067,Morehouse Parish,6510,4946,0.5682611731843575,18652,31.949968583,583.7877414979491
22069,Natchitoches Parish,9358,6896,0.5757352036421803,30718,38659,0.7945885822188882
22069,Natchitoches Parish,9358,6896,0.5757352036421803,30718,30.871020338,995.0432367856774
22071,Orleans Parish,26645,147729,0.15280374367738309,281854,391006,0.7208431584170064
22071,Orleans Parish,26645,147729,0.15280374367738309,281854,2307.7799891,122.13209289067407
22073,Ouachita Parish,42255,25913,0.619865626100223,146628,154475,0.9492021362680045
22073,Ouachita Parish,42255,25913,0.619865626100223,146628,253.07304425,579.3900351360712
22075,Plaquemines Parish,7411,3413,0.6846821877309682,18580,23410,0.7936779154207604
22075,Plaquemines Parish,7411,3413,0.6846821877309682,18580,29.999819922,619.3370509659154
22077,Pointe Coupee Parish,7503,4683,0.6157065484982767,23726,21940,1.0814038286235186
22077,Pointe Coupee Parish,7503,4683,0.6157065484982767,23726,39.374091929,602.5789761141185
22079,Rapides Parish,38346,19472,0.6632190667266249,98376,130562,0.7534811047624883
22079,Rapides Parish,38346,19472,0.6632190667266249,98376,98.88481149,994.8545031098992
22081,Red River Parish,2413,1644,0.5947744638895736,8987,8477,1.0601627934410758
22081,Red River Parish,2413,1644,0.5947744638895736,8987,21.786634626,412.5006066460115
22083,Richland Parish,6607,3225,0.6719894222945484,18569,20192,0.9196216323296355
22083,Richland Parish,6607,3225,0.6719894222945484,18569,36.334313023,511.05961431679276
22085,Sabine Parish,8776,1731,0.8352526886837347,20746,24032,0.8632656458055925
22085,Sabine Parish,8776,1731,0.8352526886837347,20746,27.729473451,748.1570119483046
22087,St. Bernard Parish,11178,6151,0.6450458768538289,32347,46721,0.6923439138717065
22087,St. Bernard Parish,11178,6151,0.6450458768538289,32347,123.76027075,261.3682064847939
22089,St. Charles Parish,18233,9800,0.6504120144115864,40801,52879,0.7715917471964295
22089,St. Charles Parish,18233,9800,0.6504120144115864,40801,190.38744078,214.30510244185237
22091,St. Helena Parish,2714,3346,0.44785478547854785,9140,10262,0.8906645877996492
22091,St. Helena Parish,2714,3346,0.44785478547854785,9140,25.126815804,363.7548056743816
22093,St. James Parish,5954,6509,0.4777340929150285,17634,21037,0.8382373912630128
22093,St. James Parish,5954,6509,0.4777340929150285,17634,87.094118764,202.47061742232063
22095,St. John the Baptist Parish,7538,13581,0.3569297788721057,34517,43184,0.7993006669136717
22095,St. John the Baptist Parish,7538,13581,0.3569297788721057,34517,201.49313334000001,171.30608585929292
22097,St. Landry Parish,23171,17372,0.5715166613225464,76379,82764,0.922852931226137
22097,St. Landry Parish,23171,17372,0.5715166613225464,76379,89.579893363,852.6355316197274
22099,St. Martin Parish,18203,8439,0.6832445011635763,46524,53621,0.8676451390313497
22099,St. Martin Parish,18203,8439,0.6832445011635763,46524,72.734403337,639.6422857068139
22101,St. Mary Parish,14811,8055,0.647730254526371,42395,49774,0.8517499095913529
22101,St. Mary Parish,14811,8055,0.647730254526371,42395,89.588999197,473.2165821696069
22103,St. Tammany Parish,99666,37746,0.7253078333769977,161380,258111,0.6252348795673179
22103,St. Tammany Parish,99666,37746,0.7253078333769977,161380,305.01368986,529.0910059613152
22105,Tangipahoa Parish,37799,18883,0.666860731801983,104769,133777,0.7831615300088954
22105,Tangipahoa Parish,37799,18883,0.666860731801983,104769,169.05725118,619.7249704980089
22107,Tensas Parish,1197,1329,0.47387173396674587,3918,4462,0.8780815777678171
